5
nSG with periodic bound(-PI,PI),FE_Solver
Date: 05-03-2017 10:13:09
N=1000;te=0.001;dt=1.96998e-09
u0.re,u0.im,u(x).re,u(x).im,x
-0.99998;-0.00627687;-0.998569;-0.00583877;-3.13532
-0.999921;-0.0125535;-0.99859;-0.011735;-3.12904
-0.999823;-0.0188296;-0.998612;-0.0176883;-3.12276
-0.999685;-0.025105;-0.998625;-0.0236977;-3.11649
-0.999508;-0.0313794;-0.998621;-0.0297622;-3.11021
-0.999291;-0.0376525;-0.99859;-0.0358793;-3.10393
-0.999035;-0.0439242;-0.998524;-0.0420465;-3.09765
-0.998739;-0.0501942;-0.998415;-0.0482594;-3.09138
-0.998405;-0.0564621;-0.998254;-0.0545136;-3.0851
-0.998031;-0.0627279;-0.998035;-0.0608022;-3.07882
-0.997617;-0.0689911;-0.997752;-0.0671184;-3.07255
-0.997165;-0.0752517;-0.9974;-0.0734536;-3.06627
-0.996673;-0.0815093;-0.996978;-0.0797989;-3.05999
-0.996141;-0.0877637;-0.996484;-0.086145;-3.05372
-0.995571;-0.0940146;-0.995922;-0.0924824;-3.04744
-0.994961;-0.100262;-0.995294;-0.0988038;-3.04116
-0.994312;-0.106505;-0.994609;-0.105101;-3.03489
-0.993624;-0.112744;-0.993874;-0.111372;-3.02861
-0.992897;-0.118979;-0.993098;-0.117613;-3.02233
-0.99213;-0.125209;-0.99229;-0.123829;-3.01605
-0.991325;-0.131434;-0.991457;-0.130022;-3.00978
-0.99048;-0.137654;-0.990605;-0.136202;-3.0035
-0.989597;-0.143868;-0.989734;-0.142377;-2.99722
-0.988674;-0.150077;-0.988841;-0.148554;-2.99095
-0.987713;-0.156279;-0.987919;-0.154742;-2.98467
-0.986712;-0.162476;-0.986961;-0.16094;-2.97839
-0.985673;-0.168666;-0.985957;-0.167149;-2.97212
-0.984595;-0.17485;-0.984899;-0.173359;-2.96584
-0.983478;-0.181027;-0.983788;-0.179563;-2.95956
-0.982323;-0.187196;-0.982624;-0.185753;-2.95329
-0.981128;-0.193359;-0.981416;-0.19192;-2.94701
-0.979895;-0.199513;-0.980174;-0.198066;-2.94073
-0.978624;-0.20566;-0.978903;-0.204196;-2.93445
-0.977313;-0.211799;-0.977609;-0.210318;-2.92818
-0.975965;-0.217929;-0.976285;-0.216443;-2.9219
-0.974578;-0.224051;-0.974923;-0.22257;-2.91562
-0.973152;-0.230163;-0.973516;-0.228699;-2.90935
-0.971688;-0.236267;-0.972055;-0.23482;-2.90307
-0.970186;-0.242362;-0.97055;-0.240922;-2.89679
-0.968646;-0.248447;-0.969007;-0.247004;-2.89052
-0.967067;-0.254522;-0.967433;-0.253069;-2.88424
-0.96545;-0.260587;-0.965835;-0.259126;-2.87796
